Player,ADP
Alberto Abalde,671.4
Alex Abrines,674.6
Quincy Acy,677.6
Jalen Adams,680.6
Jaylen Adams,681.6
Jordan Adams,685.6
Steven Adams,59.38
Bam Adebayo,47.71
Arron Afflalo,673.6
LaMarcus Aldridge,33.43
Nickeil Alexander-Walker,179.42
Grayson Allen,461.44
Jarrett Allen,91.29
Al-Farouq Aminu,262.41
Justin Anderson,645.6
Kyle Anderson,154.35
Ryan Anderson,651.6
Zach Andrews,419.12
Giannis Antetokounmpo,1.79
Kostas Antetokounmpo,684.6
Thanasis Antetokounmpo,683.6
Carmelo Anthony,452.44
OG Anunoby,147.23
Ryan Arcidiacono,528.42
Trevor Ariza,240.46
Omer Asik,551.4
D.J. Augustin,150.66
Deandre Ayton,29.4
Dwayne Bacon,150.52
Marvin Bagley III,64.08
Lonzo Ball,67.91
Mo Bamba,196.78
J.J. Barea,559.28
Harrison Barnes,130.89
Matt Barnes,472.13
Andre Barrett,348.2
RJ Barrett,86.46
Will Barton,147.92
Keita Bates-Diop,487.03
Nicolas Batum,141.55
Aron Baynes,442.27
Kent Bazemore,151.94
Darius Bazley,491.6
Bradley Beal,13.53
Malik Beasley,418.07
Marco Belinelli,489.55
Jordan Bell,443.8
DeAndre' Bembry,381.23
Dragan Bender,509.63
Dairis Bertans,408.2
Davis Bertans,149.77
Patrick Beverley,137.73
Khem Birch,582.6
Goga Bitadze,431.14
Bismack Biyombo,474.33
Nemanja Bjelica,354.24
Eric Bledsoe,58.43
Bogdan Bogdanovic,117.38
Bojan Bogdanovic,96.56
Bol Bol,421.08
Jonah Bolden,572.39
Isaac Bonga,552.6
Devin Booker,22.24
Chris Boucher,446.95
Avery Bradley,391.99
Tony Bradley,522.88
Ignas Brazdeikis,634.6
Mikal Bridges,129.77
Miles Bridges,91.43
Ryan Broekhoff,669.6
Malcolm Brogdon,69.36
Dillon Brooks,374.93
Troy Brown Jr.,269.12
Bruce Brown,365.69
Jaylen Brown,105.23
Sterling Brown,530.5
Jalen Brunson,417.19
Thomas Bryant,71.47
Reggie Bullock,499.26
Trey Burke,498.54
Alec Burks,424.9
Deonte Burton,664.6
Jimmy Butler,21.47
Bruno Caboclo,410.23
Kentavious Caldwell-Pope,350.27
Clint Capela,37.77
DeMarre Carroll,330.38
Wendell Carter Jr.,87.39
Michael Carter-Williams,470.94
Vince Carter,545.81
Alex Caruso,373.74
Willie Cauley-Stein,126.64
Tyson Chandler,511.75
Wilson Chandler,615.04
Marquese Chriss,460.95
Gary Clark,661.6
Brandon Clarke,137.65
Jordan Clarkson,149.21
Nicolas Claxton,614.6
Chris Clemons,618.6
John Collins,32
Zach Collins,108.91
Mike Conley,43.39
Pat Connaughton,445.29
Quinn Cook,483.93
DeMarcus Cousins,121.94
Robert Covington,65.55
Allen Crabbe,521.49
Torrey Craig,511.94
Jae Crowder,246.97
Jarrett Culver,150.66
Seth Curry,266.32
Stephen Curry,5.29
Troy Daniels,665.6
Anthony Davis,2.78
Ed Davis,419.82
Terence Davis,484.91
Dewayne Dedmon,117.93
Matthew Dellavedova,598.66
DeMar DeRozan,39.76
Cheick Diallo,544.76
Hamidou Diallo,491.41
Gorgui Dieng,474.47
Spencer Dinwiddie,114.42
Donte DiVincenzo,516.11
Luka Doncic,15.41
Damyean Dotson,540.84
Sekou Doumbouya,536.35
Goran Dragic,125.23
Andre Drummond,13.63
Jared Dudley,490.04
Kris Dunn,155.58
Kevin Durant,555
Carsen Edwards,352.6
Wayne Ellington,516.67
Joel Embiid,9.38
James Ennis III,567.63
Jacob Evans III,588.6
Dante Exum,424.64
Tacko Fall,335.02
Kenneth Faried,482.23
Derrick Favors,75.82
Cristiano Felicio,591.6
Terrance Ferguson,489.63
Bruno Fernando,408.04
Yogi Ferrell,667.6
Dorian Finney-Smith,433.14
Bryn Forbes,373.7
Evan Fournier,122.99
De'Aaron Fox,29.78
Tim Frazier,561.13
Markelle Fultz,151.35
Daniel Gafford,496.27
Danilo Gallinari,61.71
Langston Galloway,512.66
Darius Garland,138.23
Marc Gasol,85.04
Pau Gasol,628.6
Rudy Gay,124.72
Paul George,19.53
Taj Gibson,451.28
Harry Giles III,358.08
Shai Gilgeous-Alexander,67.51
Rudy Gobert,19.65
Aaron Gordon,60.6
Eric Gordon,134.73
Devonte' Graham,421.31
Treveon Graham,621.6
Jerami Grant,134.9
Danny Green,133.04
Draymond Green,37.67
Gerald Green,485.24
JaMychal Green,367.83
Javonte Green,675.6
Jeff Green,423.56
Blake Griffin,33.61
Marko Guduric,630.6
Rui Hachimura,128.98
Tim Hardaway Jr.,143.98
James Harden,2.91
Moe Harkless,371.97
Montrezl Harrell,69.79
Gary Harris,106.18
Joe Harris,138.08
Tobias Harris,46.46
Shaquille Harrison,575.29
Josh Hart,410.62
Isaiah Hartenstein,649.6
Jaxson Hayes,408.26
Gordon Hayward,77.6
John Henson,479.5
Guillermo Hernangomez,415.46
Juancho Hernangomez,514.37
Tyler Herro,140.86
Mario Hezonja,396.25
Buddy Hield,45.35
Nene Hilario,657.6
George Hill,404.77
Aaron Holiday,465.83
Jrue Holiday,24.09
Justin Holiday,365.54
Rondae Hollis-Jefferson,430.08
Richaun Holmes,407.83
Rodney Hood,362.23
Al Horford,63.6
Danuel House Jr.,420.26
Dwight Howard,136.49
Kevin Huerter,132.27
De'Andre Hunter,142.39
Chandler Hutchison,641.6
Serge Ibaka,89.67
Andre Iguodala,407.77
Ersan Ilyasova,495.83
Joe Ingles,93.39
Brandon Ingram,87.49
Kyrie Irving,16.88
Jonathan Isaac,85.05
Wes Iwundu,619.96
Jaren Jackson Jr.,53.49
Demetrius Jackson,388.2
Frank Jackson,482.8
Josh Jackson,324.09
Justin Jackson,439.25
Reggie Jackson,133.48
LeBron James,6.6
Ty Jerome,546.9
Alize Johnson,678.6
Cameron Johnson,485.53
James Johnson,414.17
Joe Johnson,427.08
Keldon Johnson,600.4
Stanley Johnson,511.71
Tyler Johnson,447.27
Nikola Jokic,5.88
Derrick Jones Jr.,348.46
Damian Jones,518.85
Tyus Jones,280.55
DeAndre Jordan,102.76
Cory Joseph,460.14
Mfiondu Kabengele,553.6
Frank Kaminsky,457.04
Enes Kanter,96.82
Luke Kennard,217.96
Michael Kidd-Gilchrist,488.86
Maxi Kleber,249.73
Brandon Knight,485.96
Kevin Knox II,153
Furkan Korkmaz,660.6
Luke Kornet,540.08
Kyle Korver,442.23
Rodions Kurucs,318.3
Kyle Kuzma,97.64
Skal Labissiere,588.81
Jeremy Lamb,88.76
Romeo Langford,535.05
Zach LaVine,42.77
Jake Layman,453.12
TJ Leaf,467.8
Damion Lee,616.82
Alex Len,119.97
Kawhi Leonard,11.87
Meyers Leonard,391.02
Caris LeVert,76.75
Damian Lillard,9.47
Jeremy Lin,592.99
Nassir Little,502.33
Kevon Looney,122.4
Brook Lopez,78.38
Robin Lopez,393.68
Kevin Love,55.9
Kyle Lowry,48.72
Trey Lyles,470.56
Ian Mahinmi,438.59
Thon Maker,462.2
Terance Mann,488.5
Boban Marjanovic,383.03
Lauri Markkanen,48.49
Caleb Martin,632.6
Cody Martin,663.6
Wesley Matthews,348.77
Patrick McCaw,606.29
CJ McCollum,50.72
T.J. McConnell,482.03
Doug McDermott,582.76
JaVale McGee,111.74
Rodney McGruder,613.6
Alfonzo McKinnie,389.93
Jordan McLaughlin,686.6
Ben McLemore,557.75
Jordan McRae,533.34
Nicolo Melli,455.09
De'Anthony Melton,536.53
Khris Middleton,43.78
C.J. Miles,430.78
Darius Miller,670.6
Malcolm Miller,652.6
Patty Mills,388.65
Paul Millsap,106.93
Nikola Mirotic,554.02
Donovan Mitchell,26.25
Malik Monk,152.69
E'Twaun Moore,541.74
Ja Morant,59.34
Marcus Morris Sr.,174.02
Markieff Morris,384.96
Monte Morris,356.43
Johnathan Motley,654.6
Emmanuel Mudiay,454.95
Dejounte Murray,90.89
Jamal Murray,51.5
Dzanan Musa,519.2
Mike Muscala,485.62
Svi Mykhailiuk,610.6
Abdel Nader,604.94
Larry Nance Jr.,95.98
Shabazz Napier,431.62
Raul Neto,588.87
Georges Niang,653.6
Nerlens Noel,159.33
Zach Norvell Jr.,644.6
Frank Ntilikina,518.12
Kendrick Nunn,456.87
Jusuf Nurkic,211
David Nwaba,598.6
Royce O'Neale,399.2
Kyle O'Quinn,508.4
Semi Ojeleye,520.34
Jahlil Okafor,333.57
Josh Okogie,320.42
Victor Oladipo,81.55
Kelly Olynyk,138.07
Cedi Osman,136.5
Kelly Oubre Jr.,79.62
Jabari Parker,144.97
Eric Paschall,424.42
Anzejs Pasecniks,682.6
Justin Patton,666.6
Chris Paul,43.52
Cameron Payne,647.6
Elfrid Payton,148.43
Mason Plumlee,305.08
Jakob Poeltl,152.01
Vincent Poirier,625.6
Shamorie Ponds,659.6
Jordan Poole,432.57
Kevin Porter Jr.,447.57
Michael Porter Jr.,145.52
Otto Porter Jr.,64.03
Bobby Portis,148.75
Kristaps Porzingis,34.65
Dwight Powell,124.1
Norman Powell,153.07
Taurean Prince,138.93
Ivan Rabb,438.13
Julius Randle,43.27
Cam Reddish,173.28
JJ Redick,119.38
Josh Richardson,77.22
Austin Rivers,455.09
Andre Roberson,498.77
Glenn Robinson III,442.92
Duncan Robinson,679.6
Jerome Robinson,572.57
Justin Robinson,510.87
Mitchell Robinson,54.68
Isaiah Roby,676.6
Rajon Rondo,147.92
Derrick Rose,131.06
Terrence Ross,131.5
Terry Rozier,62.01
Ricky Rubio,82.22
D'Angelo Russell,35.28
Domantas Sabonis,67.46
Luka Samanic,631.6
Jakarr Sampson,549.4
Dario Saric,119.34
Tomas Satoransky,113.57
Admiral Schofield,627.6
Dennis Schroder,125.97
Mike Scott,563.33
Thabo Sefolosha,668.6
Collin Sexton,101.79
Landry Shamet,152.22
Pascal Siakam,27.15
Ben Simmons,18.2
Anfernee Simons,313.66
Marcus Smart,114.3
Dennis Smith Jr.,118.03
Ish Smith,149.96
Zhaire Smith,501.34
Tony Snell,507.83
Omari Spellman,481.21
Edmond Sumner,615.6
Jayson Tatum,45.89
Jeff Teague,94.2
Garrett Temple,507.39
Daniel Theis,406.83
Isaiah Thomas,158.5
Khyri Thomas,655.6
Matt Thomas,619.82
Klay Thompson,397
Tristan Thompson,145.29
Sindarius Thornwell,658.6
Matisse Thybulle,298.19
Anthony Tolliver,518.91
Karl-Anthony Towns,4.05
Gary Trent Jr.,620.91
Allonzo Trier,422.61
P.J. Tucker,144.82
Evan Turner,475.13
Myles Turner,34.56
Jonas Valanciunas,67.26
Denzel Valentine,513.02
Fred VanVleet,101.93
Noah Vonleh,416.26
Nikola Vucevic,18.14
Moritz Wagner,374.25
Dion Waiters,287.18
Lonnie Walker IV,388.62
Kemba Walker,19.83
John Wall,417.7
T.J. Warren,105.05
PJ Washington,154.94
Yuta Watanabe,656.6
Russell Westbrook,12.63
Coby White,147.58
Derrick White,114.07
Hassan Whiteside,65.32
Andrew Wiggins,83.42
Grant Williams,452.71
Kenrich Williams,621.27
Lou Williams,74.25
Marvin Williams,225.67
Robert Williams,234.44
Zion Williamson,29.29
D.J. Wilson,553.57
Dylan Windler,532.11
Justise Winslow,112.1
Christian Wood,409.37
Delon Wright,99.87
Nick Young,481.96
Thaddeus Young,127.96
Trae Young,19.29
Cody Zeller,142.98
Ante Zizic,479.94
Ivica Zubac,151.32